Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Faecal Streptococci (MPN/ 100 mL),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (mho/ Cm),WQI
8.75,8.8,7.7,1.1,0,0,0,0,132.5,26.72654007
10.7,7.85,7.95,0.85,0,0,0,0,275,54.88771498
10.75,8,7.9,1.1,0,0,0,0,315.5,62.91211418
12.65,9.05,7.65,0.95,0,0,0,0,230.5,46.12013687
13.05,8.3,7.55,1.35,0,0,0,0,235,47.00388749
12.7,8.75,7.5,0.85,0,0,0,0,212,42.4443376
17.95,8.15,7.9,0.55,0,0.1,0,0,249.5,49.86496502
18.1,7.9,8.1,0.75,0,0.1,0,0,251.5,50.26739165
23,6.1,8.1,6.9,0,0.45,0,0,629,125.1851635
22,7.05,8.2,1.8,0,0.3,0,0,263,52.5918607
20.5,4.3,8.35,4.7,0,0.3,0,0,462.5,92.09607813
20.5,7.8,8.4,1.3,0,0.55,0,0,245.5,49.1557458
21,7.25,8.3,1.15,0,0.2,0,0,271,54.14413883
19.8,4.4,7.8,36.8,411.75,2.2,468.5,823.5,875,175.2479749
21,8.35,7.8,1.4,630,5.6,399,1260,338,67.98878969
15,6.95,7.8,0.2,27.95,0.75,3.4,55.9,331.5,66.08791313
15,6.95,7.7,0.25,35.45,0.9,30.9,70.9,920.5,182.6119173
16.25,7,7.65,0.2,30.45,0.85,3.9,60.9,323.5,64.51526296
16,6.7,7.55,0.2,32.95,0.6,3.95,65.9,333.5,66.45844787
15.5,6.9,7.6,0.2,35.45,0.55,3.9,70.9,354,70.51457833
16.25,6.85,7.6,0.2,37.95,0.6,3.95,75.9,300.5,59.93709124
17.5,7.05,7.95,0.3,56,0.85,4,112,496,98.65303383
15,6.85,8.05,0.3,45.45,0.85,30.65,90.9,2425.5,480.3107947
12.5,9.2,7.85,0.7,405.25,1.2,9,810.5,2371,469.6335288
12.5,9.05,7.9,1.25,94,1.25,13.9,188,2933.5,580.9214901
12,8.85,7.9,2.45,141.5,1.45,20.5,283,4049,801.6342945
13.5,9.3,7.8,0.65,415.75,1.35,22.5,831.5,516.5,102.8237964
22,8.2,8.4,0,0,0,0,0,191,38.28569366
22,8.2,8.4,0,0,0,0,0,188,37.69228166
21.5,7.8,7.95,0,0,0,0,0,116,23.42605138
16,8.5,8.1,0.2,0,0,0,0,119,24.0383712
22,8.6,8.35,0.1,85,0,23.5,170,399.5,79.54591713
20.5,9.3,8.1,0.1,72.25,0,19,144.5,417,83.01634625
20.3,7.35,7.9,0.95,58,0.4,15,116,275.5,55.0377458
18,6.25,7.95,1.2,19.5,0.8,9,39,636,126.3571787
0,7.25,7.95,1.25,42.95,1.5,13.3,85.9,336,67.06925159
9.5,8,7.65,0.15,46.5,0.65,10.9,93,146.5,29.49669305
10.5,7.8,7.55,0.2,54,0.6,19.4,108,168.5,33.84120006
12.25,8.4,7.6,0.2,41,14.05,3,82,669.5,134.2080506
12.5,8.35,7.75,0.2,39,0.65,4,78,126.5,25.56123736
22,9.2,8.6,0.2,0,0,0,0,172,34.56915634
19,8.3,7.5,0.2,31.5,0.4,2,63,184,36.91885784
19,8.1,7.2,0.3,35,0.5,2,70,172,34.54506929
15,8.2,7.3,0.2,0,0.2,0,0,228,45.58561532
18,7.25,7.7,1.55,88,4.15,17,176,1850,366.8395198
18,6.5,7.7,3.1,630,4.45,177,1260,3010,596.3896947
14.5,7.55,8.35,0.5,87.75,2.3,12,175.5,1697,336.3772544
20.75,7,7.65,0.15,31.25,0.2,3,62.5,443.5,88.19995658
19,10.1,7.75,1,35,0,33,70,125.5,25.40520717
20.5,9.5,7.9,1.1,97.5,0,90,195,354,70.60694292
19.5,9.6,7.95,1,37.5,0,38,75,138,27.87086279
19,9,7.55,1.5,120,0,145,240,202,40.53860027
18,9.3,7.85,1.1,70,0,65,140,71.5,14.71055181
0,8.6,7.55,1.55,0,0,0,0,157.5,31.65983243
21.25,9,7.25,1.85,1010,0.575,960,2020,210.5,42.41116878
21,9.4,7.05,1.35,760,0.55,605,1520,209.5,42.14178893
22.5,8.7,7.2,1.95,180,0.47,195,360,221,44.35737685
23.5,8.75,7.3,1.7,290,0.435,300,580,227,45.55328488
21.5,8.95,7.35,1.75,557.5,0.515,600,1115,227,45.61101961
20.5,10.1,7.5,1.7,177.5,0.585,220,355,453.5,90.39352772
24.5,8.55,8,2.15,1100,0,850.9,2200,221,44.4463526
24,8.5,8.15,2.9,1975,0,2000,3950,275,55.33546186
24,8.1,8.2,3.5,2450,0,2500,4900,283,57.00956125
24,8.35,8.35,3.35,2275,0,2400,4550,276.5,55.71279293
24,8.05,8.25,3.25,2425,0,2550,4850,285.5,57.50092172
24,8.05,8.25,3.1,2025,0,2650,4050,284,57.21038522
24,7.7,8.25,3.55,2900,0,3250,5800,299.5,60.37917248
24,7,8,4.5,22750,0,26000,45500,332.5,70.40799449
24,7.6,8.1,4.1,15250,0,14650,30500,305.5,63.34466957
22,8.8,8.3,3.45,1800,0.82,3050,3600,329.5,66.37649074
22,8.95,8.2,3.4,1775,0.8,2900,3550,331,66.64852417
27.4,9.75,8,2.65,8350,1.445,9150,16700,207.5,43.24397498
27.55,9.2,8.15,2.95,9500,1.575,9300,19000,209,43.58312865
27.7,9.15,8.1,2.7,8850,1.61,8150,17700,259.5,53.38861996
27.75,9.35,7.95,2.35,7250,1.52,6250,14500,261,53.37336961
24.25,8.2,8.3,2.65,1000,0.69,1050,2000,410,81.94219374
24.4,7.55,8.35,3.6,8750,1.07,9000,17500,430,87.18002609
24.25,7.85,5.35,3.35,5500,0.945,6500,11000,424,85.51040771
25.75,8.6,8.25,2.5,1125,0.18,1100,2250,438,87.4489261
25.75,7.2,8.3,3.8,15000,0.275,17000,30000,460,94.26292934
26.5,7.9,8.4,3.4,6250,0.23,8000,12500,447,90.30943886
24,7.85,8.15,3.6,4400,0,3850,8800,310,62.55775108
26.25,7.15,8.4,3.8,13000,0.285,14000,26000,461.5,94.10673489
26,8.5,8,2.1,40575,0.195,14225,81150,381,78.3341139
26,3.35,7.65,37.5,40087.5,4.85,27023,80175,5730,1140.014968
23,1.75,7.65,24,2435,10.4,2775,4870,1000,200.4888404
23,2.2,7.55,26.5,1537.5,6.5,760,3075,1179.5,235.4424219
23.5,3.05,8.05,19.2,535,5.45,460.5,1070,1035.5,206.5483019
28.5,6.5,7.85,11.5,40400,2.2,46110,80800,1110.5,227.8689238
0,8.6,7.3,1,8000,0.2,5400,16000,429,86.20106093
19,2.6,7.5,27.5,800,0,0,1600,579,115.9831121
25,5.2,7.35,4.05,0,0,0,0,348,69.40261109
25,1.6,6.65,38,0,0,0,0,452,91.2534771
21.5,4.4,7.45,8.4,0,0,0,0,382.5,76.37790037
21.5,1.9,7.35,33,0,0,0,0,503,101.1540233
25,5.6,7.6,7,0,0,0,0,395,78.83886986
16,7.2,7.55,1.5,0,0,0,0,220,44.01896463
25,4.6,7.3,7,0,0,0,0,532,105.9018852
25,5.5,7.6,6.8,0,0,0,0,398.5,79.52011846
21,5.1,7.7,7.9,0,0,0,0,212.5,42.75577385
25,5,7.55,9.4,0,0,0,0,377,75.35906678
24.5,3.9,7.05,14,0,0,0,0,491.5,98.15180602
24.5,5,7.45,7,0,0,0,0,430,85.73993545
24.5,8.15,8.3,5.15,6025,0,5800,12050,453,91.21976212
27.8,8.2,7.3,0,3900,0.5,2000,7800,175,35.47180709
28.2,8.3,7.4,0,6500,0.5,2000,13000,177,35.88973529
25.9,6.95,8.15,4.2,14350,1.55,12100,28700,348.5,71.60266101
25.9,6.7,8.1,4.4,18375,1.55,17700,36750,354,73.5438855
26.25,3,7.6,8.5,65250,2.2,93500,130500,394.5,93.17270907
26.25,2.3,7.55,8.95,140500,2.35,128500,281000,402,100.3081522
26.25,2.3,8.05,9.3,57500,2.85,62500,115000,518,113.0514312
26.25,1.9,7.55,10.1,74750,2.95,109500,149500,526.5,121.8121061
26.25,4.1,8.05,4.95,18500,1.35,24100,37000,393,82.13646841
26.25,4.45,8.05,4.3,13075,1.35,17350,26150,384.5,79.40601982
23.5,6.95,7.95,4.55,3825,0.85,5250,7650,384.5,77.58394288
23.5,7.05,7.95,4.55,3800,0.85,4950,7600,379,76.45428995
26.5,8.25,8.3,2.85,1200,0.2,1200,2400,408,81.53956586
24.5,7,7.35,5.5,13975,0,14750,27950,312,64.65956949
23.5,7.55,7.55,4.3,11500,0,11550,23000,293,60.38151054
21,9.9,7.8,3,8525,0.5,13200,17050,300,62.05189433
23.5,7.2,7.4,4.7,10350,0,7650,20700,1284,255.82369
25.5,7.3,7.3,4.75,10575,0,9650,21150,310,63.46696053
25,8.7,7.75,1.9,9025,0.295,8600,18050,273,55.94340388
23.75,8.85,8.25,2.05,625,0.45,350,1250,244,48.96968952
23.75,8.55,8.3,2.65,1425,0.4,1350,2850,261,52.49819973
23.5,7.2,7.6,2.2,15200,0.25,9600,30400,498,100.5934422
19.5,7.35,7.25,2.25,3975,0.2,2650,7950,462.5,92.45704224
25.5,7.1,7.65,3.8,41700,0.3,15000,83400,278.5,58.21066773
30.5,6.75,7.6,3.65,27250,0.2,14850,54500,346,71.43701282
26,2.8,6.95,7,42750,0.7,11700,85500,564.5,114.3309968
26,3,7.2,5,41575,0.6,11350,83150,251.5,52.2798854
25,2.2,7.2,16.4,42750,2.15,27850,85500,690.5,142.1536776
25,2.55,7.2,16.3,45500,2.05,32500,91000,687.5,142.2617787
24.5,8.25,8,1.6,40350,0.55,11550,80700,236,49.25695277
28,8.5,8.15,2.1,24525,0.55,28200,49050,308,65.90611328
24,7.95,7.8,1.9,23675,0.25,8890,47350,401.5,81.4674044
24.5,4,7.4,3.7,40825,0.35,14225,81650,374.5,76.98386184
25.5,4.95,7.4,3.5,13850,0.25,7465,27700,438.5,88.48941666
27,7,7.7,2.2,11075,0.35,9350,22150,337,68.69932091
27.5,7.85,7.9,2,7275,0.35,5680,14550,322,65.18804983
26,6.7,7.8,2.05,10500,0.45,11700,21000,472.5,95.84093304
26,4.65,7.3,5.15,42750,0.7,14090,85500,418.5,85.79052087
26.5,7.6,7.5,1.2,0,0,0,0,0,0.524595241
26.5,9,7.7,2.75,3250,0.55,3750,6500,289.5,58.52341146
28,8.3,7.7,2.45,6025,0.6,6250,12050,281.5,57.30403722
28,9,7.85,2.45,4600,0.5,4460,9200,423.5,85.13300221
26,7.35,7.7,3.7,41750,0.55,11400,83500,670.5,135.2459612
26.5,8.6,7.9,2.55,9100,0.55,6955,18200,350.5,71.08534051
27.25,8.6,7.85,2.35,3425,0.55,2650,6850,353.5,70.99909851
27.75,9.1,7.9,2,9075,0.5,6050,18150,261,53.23755944
27.25,8.6,7.7,2.45,3375,0.55,2000,6750,353.5,70.90275818
27.5,8.4,7.9,2.55,14175,0.55,3500,28350,372.5,74.95347538
28.25,8.7,7.85,2.8,3825,0.5,2350,7650,355.5,71.37185983
27.5,4.1,7.7,3.65,229000,0.45,154500,458000,481.5,120.0862826
28.5,2.25,7.8,3.8,225750,0.55,150550,451500,477.5,118.6588326
26.75,8.35,7.95,2.8,3025,0.55,3200,6050,343,69.01405218
27,6.95,7.7,3.6,44250,0.3,18200,88500,448.5,92.31895396
27,7.15,7.7,4.2,45250,0.3,46200,90500,546,115.7853381
27.5,6.95,7.7,3.65,226000,0.5,251000,452000,417,121.6766298
28.5,6.4,7.6,2.2,10250,1.15,7200,20500,3413,676.8793442
27,6.5,7.4,2.55,11000,1.65,9600,22000,1217.5,243.0152299
21,7.15,7.55,1.65,1165,1.55,700,2330,131.5,26.78439565
22.5,6.7,7.3,1.3,307.5,0.8,180.9,615,151.5,30.55869672
24,7.55,7.3,1.75,1255,1.45,900,2510,162,32.85422856
25,7.35,7.7,1.8,1275,1.7,930,2550,128,26.16597424
26,5.9,7.75,1.4,1255,1.15,550.9,2510,136,27.58746229
27,7.8,7.9,1.55,1375,1.45,930,2750,124,25.3646028
27,7.7,7.55,1.7,700,2,515,1400,123,25.14637631
24.5,7.8,7.5,1.75,880,1.55,700,1760,127,25.9219819
29,5.75,7.6,1.55,1400,1.2,1150,2800,140.5,28.57688013
21.5,5,7.75,2,675.45,1.4,460.9,1350.9,131.5,26.69231607
23,7.55,7.6,1.6,1055,1.15,750,2110,106,21.72532056
25.5,6.8,7.05,1.95,950,1.3,900,1900,52,11.06405569
22,4.75,7.35,3.65,2305,1.7,1360,4610,188,38.09068821
24.5,6.95,7.35,1.35,450,1.75,515,900,171,34.56946104
24,6.7,7.15,1.35,600,1.05,605,1200,183,36.8789237
23,7,7.4,1.3,425,1,330,850,125.5,25.46941316
29.5,4.45,7.15,1.95,3590,1.35,330,7180,31.5,6.891313452
23.5,5.9,7.15,1.65,450,1.7,515,900,166.5,33.6497934
23,7.4,7.4,2.05,790,1.45,515,1580,118.5,24.19832599
25,4.45,5.7,1.7,402.5,1.3,330,805,163,32.8191762
24,5.9,7.75,1.8,1057.5,1.25,1150,2115,89,18.39914755
22,2.3,6.7,2.3,1400,1.5,730,2800,132,26.75441475
26,6.25,7.3,3.1,1150,2.8,930,2300,126.5,25.98486231
29,5.3,7.3,2.05,950,1.55,900,1900,115.5,23.62447691
22.5,5.45,7.15,2.1,650,1.3,545,1300,96,19.67666159
23.5,5.5,6.95,2.05,1225,1.2,545,2450,117,23.82123963
26,6.45,7.4,2,350,1.55,535,700,149.5,30.3180352
23.5,6.5,7.15,1,302.5,1.05,300,605,63,13.07422703
27,7.3,7.55,2.1,875,1.05,605,1750,84.5,17.46242295
27,7.25,7.75,1.65,58.5,0.65,48,117,429.5,85.5655961
27.5,1.7,7.7,27,567.5,0.25,175.5,1135,2096,416.0789422
27.5,6.75,7.95,7.55,190,0.85,61.5,380,668.5,133.0976285
27.5,6.7,7.85,2.5,111,1.25,64.5,222,692.5,137.6697825
27.5,7.6,7.25,0.85,23.75,0.2,1.9,47.5,452,89.93232762
27.5,0.8,7.95,123.5,512.5,0.39,366.5,1025,2278.5,456.1776881
28,7.3,8,1.85,135,0.65,71,270,328,65.51098198
30.5,0,7.5,32.5,2850,0.35,410,5700,1959.5,389.3172014
28,7,8.35,1.4,35.5,0.3,10.5,71,245,49.03345025
27,7.35,8.05,0.95,12.25,0.1,2.9,24.5,375.5,74.80810591
20.4,7.4,7.8,1.55,21.5,0.85,5.9,43,284,56.78297677
18.6,7.45,7.75,1.6,23.75,0.95,7.4,47.5,1280,253.8031526
23,6.85,7.85,1.8,25.75,0.45,9.9,51.5,244.5,48.93551543
22.5,7.65,8.2,1.1,21,0.445,1.8,42,246.5,49.33120149
22.5,7.5,8.2,1.3,19.75,0.85,1.8,39.5,352.5,70.33998169
23,7.75,8.15,1.2,20.25,0.65,1.8,40.5,313.5,62.60988459
20.25,7.7,7.8,1.45,21.5,0.8,6.4,43,259,51.83730326
25,8.4,8,1.65,158.5,2.3,10,317,933.5,185.4410995
23,7.45,8.3,1,22,0.7,1.8,44,309.5,61.81056201
24.5,8,8,2.15,617.5,2.715,25.5,1235,1025,203.5918835
25,8.65,8,2.15,552.5,8,56,1105,332,67.02740877
22.5,7.1,8.25,1.1,20.75,0.95,9.9,41.5,298.5,59.65083017
22.5,7.35,8.2,1.2,21.75,0.75,1.8,43.5,343,68.44322866
20.15,7.6,7.75,1.45,0,0.8,1.8,0,281,56.18380094
20.05,7.15,7.95,1.5,12.5,0.7,3.9,25,1545,306.1935707
18.6,7.5,7.75,1.6,19.5,0.7,5.4,39,302.5,60.42765041
18.7,7.5,7.7,1.6,22.5,0.9,7.9,45,325,64.89609231
25.5,7.5,7.75,1.6,22,0.6,1.8,44,404,80.51133321
24.5,8.5,8.2,1.75,540.75,2.25,32.4,1081.5,255,51.2431362
25.6,5.7,7.85,1.6,19.5,1.1,9.9,39,399,79.5219365
18.95,7.4,7.75,1.75,22.75,0.95,6.4,45.5,353,70.44429218
19.05,7,7.65,2,20.5,0.9,6.4,41,2252,446.0660539
23.5,7.1,8.1,1,20.5,0.8,1.8,41,337.5,67.34437142
28,6.95,7.85,0.37,28,0.115,25,56,281.5,56.18119136
28,6.9,7.95,0.6,27.75,0.15,23,55.5,274,54.71131534
25,7.4,7.7,0.55,60.75,0.5,15,121.5,286,57.11477523
28,6.75,7.9,0.7,35,0,27,70,1572.5,311.5451069
28.5,6.5,7.95,0.9,140,0,79.5,280,9272,1834.54911
